,,,,,,,,,,,
averages,intact,intact_try/20220523_154400.WAV,intact_try/20220518_161200.WAV,intact_try/20220524_192000.WAV,intact_try/20220523_155200.WAV,intact_try/20220522_151200.WAV,intact_try/20220518_150909.WAV,intact_try/20220521_203600.WAV,intact_try/20220525_071300.WAV,intact_try/20220523_142200.WAV,intact_try/20220525_071700.WAV
317.4,ACI,300,299,299,306,352,402,311,303,298,304
1.978,ADI,1.79,1.04,2.5,0.6,2.99,2.64,2.11,2.99,0.13,2.99
21.06,BI,18.95,3.17,15.37,25.33,23.82,37.83,40.6,10.62,24.48,10.43
0.585,AEI,0.87,0.93,0.62,0.94,0.1,0.55,0.75,0.05,0.97,0.07
0.839,Temporal entropy,0.79,0.82,0.83,0.79,0.84,0.94,0.88,0.94,0.66,0.9
0.095,temporal median,0.02,0.01,0.01,0.05,0.05,0.73,0.03,0.01,0.03,0.01
0.542,NDSI,0.48,0.63,0.64,0.45,0.92,0.21,0.94,0.18,0.55,0.42
,,,,,,,,,,,
averages,logged,logged_try/20220520_192700.WAV,logged_try/20220524_061100.WAV,logged_try/20220525_043300.WAV,logged_try/20220520_030400.WAV,logged_try/20220523_083300.WAV,logged_try/20220525_064700.WAV,logged_try/20220518_143220.WAV,logged_try/20220518_203200.WAV,logged_try/20220524_180700.WAV,logged_try/20220522_024400.WAV
316.1,ACI,314,293,299,300,304,364,370,297,314,306
2.132,ADI,0.74,2.99,2.99,1.76,0.53,2.93,2.84,2.92,0.76,2.86
30.17,BI,8.46,19.68,29.31,41.87,4.08,11.76,43.06,84.27,10.24,48.97
0.519,AEI,0.94,0.05,0.1,0.83,0.94,0.22,0.38,0.32,0.93,0.48
0.883,Temporal entropy,0.78,0.92,0.86,0.9,0.81,0.95,0.91,0.98,0.77,0.95
0.125,temporal median,0.04,0.01,0.01,0.04,0.02,0.57,0.35,0.14,0.03,0.04
0.685,NDSI,0.27,0.95,0.99,0.99,0.49,0.32,0.57,1,0.27,1
,,,,,,,,,,,
averages,pasture,pasture_try/20220525_074200.WAV,pasture_try/20220520_220200.WAV,pasture_try/20220523_071900.WAV,pasture_try/20220524_100800.WAV,pasture_try/20220520_002800.WAV,pasture_try/20220524_233100.WAV,pasture_try/20220522_124400.WAV,pasture_try/20220523_195900.WAV,pasture_try/20220521_223700.WAV,pasture_try/20220518_154300.WAV
316.4,ACI,323,322,314,305,323,338,298,319,318,304
2.587,ADI,2.94,2.24,2.91,1.72,2.79,2.68,2.97,2.96,2.48,2.18
45.854,BI,28.3,43.96,60.97,17.3,100.77,67.51,6.35,54.17,49.81,29.4
0.5,AEI,0.26,0.67,0.37,0.83,0.41,0.5,0.27,0.26,0.66,0.77
0.921,Temporal entropy,0.95,0.86,0.99,0.96,0.97,0.84,0.93,0.94,0.86,0.91
0.192,temporal median,0.43,0.14,0.09,0.58,0.27,0.13,0.03,0.05,0.13,0.07
0.806,NDSI,0.9,0.26,0.99,0.39,1,0.95,0.77,0.99,0.89,0.92
,,,,,,,,,,,
averages,threeyearplantation,threeyearplantation_try/20220518_162100.WAV,threeyearplantation_try/20220523_161500.WAV,threeyearplantation_try/20220525_082900.WAV,threeyearplantation_try/20220524_182100.WAV,threeyearplantation_try/20220521_171900.WAV,threeyearplantation_try/20220520_181300.WAV,threeyearplantation_try/20220522_094200.WAV,threeyearplantation_try/20220522_222200.WAV,threeyearplantation_try/20220519_152400.WAV,threeyearplantation_try/20220524_062600.WAV
304,ACI,297,309,304,302,297,298,296,303,305,329
2.537,ADI,2.66,2.88,2.9,2.35,0.74,2.86,2.87,2.92,2.74,2.45
28.494,BI,15.39,32.06,32.42,13.73,3.65,3.57,15.18,105.99,21.85,41.1
0.515,AEI,0.63,0.34,0.39,0.73,0.96,0.46,0.46,0.19,0.41,0.58
0.887,Temporal entropy,0.83,0.95,0.98,0.79,0.72,0.83,0.97,0.96,0.94,0.9
0.127,temporal median,0.04,0.14,0.16,0.02,0.02,0.01,0.23,0.14,0.41,0.1
0.798,NDSI,0.8,0.86,0.92,0.65,0.62,0.69,0.85,1,0.63,0.96
